,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
0,isn't she,"Every Saturday, your mother",Prepares a pudding,No error.,SSC CGL (Tier-II) 08.08.2022 Shift-II,a,"Ans. (a) :  In the above sentence 'doesn't she' will be  used in place of isn't she because sentence is  affirmative sentence of present indefinite tense.   Hence question tag of present indefinite tense,  singular helping verb, 'does' will be used. Since  sentence is in positive. Hence question tag  is in  Negative.   Note:– Question tag of positive sentence is in  Negative and question tag of negative sentence is i n  positive.   Correct sentence –   Every Saturday, your mother prepares a pudding  doesn't she?","Every Saturday, your mother prepares a pudding, isn't she ?","identify the segment in the sentence which contains a grammatical error If there is no error, select 'No error'."
1,a big city,lives in,does she,Your eldest sister,SSC CGL (Tier-I) 13/04/2022 Shift-I,c,"Ans. (c) :  In the above sentence 'doesn't she' will be  used in place of 'does she' because question tag of   positive sentence, is in Negative and question tag of  Negative Sentence is in positive.  Correct Sentence-  Your eldest sister lives in a big city doesn't she ?","Your eldest sister/ lives in / a big city,/ does she?",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
2,The education of girls,isn't it,so it should be started early,is a primary concern for the country,SSC Constable GD-17/11/2021 Shift-II,b,Ans. (b) :  In the above sentence 'Shouldn't it' will be  used in place of 'isn't it' because Question tag of  should  is Shouldn't .  Note – Question tag of positive sentence is in Nega tive  and Negative Sentence is in positive.    Correct Sentence -  The education of girls is a primary concern for the   country so it should be started early shouldn't it .,"The education of girls/ is a primary concern for the country,/ so it should be started early,/isn't it?",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
3,My friend,never tells,dosen't he,a lie,SSC Constable GD-14/12/2021 Shift-II,c,Ans. (c) :  In the above sentence 'does he' will be used  in place of 'doesn't he' because 'Never' gives Nega tive  sense. Hence question tag will be positive.     Correct sentence - My friend never tells a lie does he  ?,"My friend / never tells / a lie, / doesn’t he?",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
4,for the occasion,am I,I am,suitably dressed,SSC CPO-SI – 25/11/2020 (Shift-II),b,"Ans. (b) :  In the above sentence 'aren't I' will be used  in place of 'am I' because if 'am' is used in a pos itive  sentence, its Negative question tag is 'aren't'. Th e  question tag of positive sentence is Negative.   Correct Sentence :   I am suitably dressed for the occasion, aren't I ?","I am suitably dressed for the occasion, am I?",Identify the segment in the sentence which contains a grammatical error.
5,Ram never,Came,did he,No error,SSC GD-14/02/2019 (Shift – I),d,Ans. (d) :  No error.  Note:-  The Question tag being positive or Negative  depend on whether the sense of the sentence is posit ive  or Negative. Since it is clear from the use of 'Nev er' in  the sentence that the sentence is giving negative s ence  and it is clear from the use of came (V2) that the  sentence is in past indefinite. Hence its question tag will  be positive & Past Indefinite helping verb 'did' wi ll be  used. And the appropriate pronoun he will be used f or  Ram. Hence 'did he' will be used.     B. ( Subject and Verb Agreement,"Ram never came again, did he?",.
6,of medications and therapies,To treat nightmare disorder,there is a number,No error,SSC MTS 04/05/2023 (Shift-II) @RexstarPdfSpotting Error 11 YCT,c,"Ans. (c) :  There is error in part (c) because 'there are a  number' will be used in the place of 'there is a nu mber'.  There is not the subject, the verb agrees with what   follows the verb.  A number→ Plural (verb)    Thus, the correct answer is option (c).","To treat nightmare disorder, there is a number of medications and therapies","Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
7,I am thirty-two,years old and,my sister are fifteen.,No error,SSC MTS 19/05/2023 (Shift-III),c,"Ans. (c) :  The segment of the above given sentence –  ‘my sister are fifteen’ is grammatically error beca use  the verb ‘is’ is used in the place of ‘are’ as the subject is  singular.   Singular subject + sing. Verb.  Thus, the correct answer is option (c).",I am thirty-two years old and my sister are fifteen,"Find the part of the given sentence that has an error in it If there is no error, choose ‘No error’."
8,Rapid climate warming in,No error,the tundra biome have been linked,to increasing shrub dominance.,SSC MTS 18/05/2023 (Shift-I),c,"Ans. (c) :  The segment of the above given sentence –  ‘the tundra biome have been linked’ is grammaticall y  error, because the subject of the sentence is singu lar,  singular verb (has been) is used in the place of pl ural  verb (have been).  The correct segment is- ‘the tundra biome has  been  linked’.",Rapid climate warming in/the tundra biome have been linked/to increasing shrub dominance,"Identify the segment that contains a grammatical error If there is no error, select 'No error'."
9,world leader in pharmaceuticals,No error,are heavily compromised.,India’s claim to be a,SSC MTS 16/05/2023 (Shift-II),c,"Ans. (c) :  The above given sentence the part (c) 'are  heavily compromised' has grammatically error, becau se  in this sentence, the subject is singular (India's)   therefore the verb (is) is used in the place of 'ar e'.  Thus the correct answer is (c).",India’s claim to be a world leader in pharmaceuticals are heavily compromised,"Find the part of the given sentence that has an error in it If there is no error, choose ‘No error’."
